date,year,borough,unit_type,monthly_rent,vacancy_rate
2020-04-16,2020,Plateau-Mont-Royal,Studio,1082.0,0.0246
2020-05-01,2020,Plateau-Mont-Royal,Studio,1080.0,0.0397
2020-05-31,2020,Plateau-Mont-Royal,Studio,1064.0,0.0361
2020-12-09,2020,Plateau-Mont-Royal,Studio,1000.0,0.0276
2020-07-10,2020,Plateau-Mont-Royal,Studio,1001.0,0.0314
2020-06-18,2020,Plateau-Mont-Royal,Studio,1042.0,0.0217
2020-02-20,2020,Plateau-Mont-Royal,Studio,1020.0,0.0244
2020-05-10,2020,Plateau-Mont-Royal,Studio,1052.0,0.0257
2020-11-24,2020,Plateau-Mont-Royal,Studio,1075.0,0.0343
2020-12-05,2020,Plateau-Mont-Royal,Studio,990.0,0.0231
2020-09-20,2020,Plateau-Mont-Royal,Studio,1105.0,0.015
2020-01-02,2020,Plateau-Mont-Royal,Studio,1109.0,0.0138
2020-09-16,2020,Plateau-Mont-Royal,Studio,926.0,0.0225
2020-10-30,2020,Plateau-Mont-Royal,Studio,1059.0,0.0348
2020-09-08,2020,Plateau-Mont-Royal,Studio,1102.0,0.01
2020-07-26,2020,Plateau-Mont-Royal,Studio,1031.0,0.023
2020-10-06,2020,Plateau-Mont-Royal,Studio,1062.0,0.0424
2020-02-10,2020,Plateau-Mont-Royal,Studio,928.0,0.0172
2020-12-10,2020,Plateau-Mont-Royal,Studio,970.0,0.0209
2020-06-11,2020,Plateau-Mont-Royal,Studio,1089.0,0.0349
2020-08-18,2020,Plateau-Mont-Royal,Studio,1080.0,0.039
2020-07-19,2020,Plateau-Mont-Royal,Studio,1096.0,0.0284
2020-02-17,2020,Plateau-Mont-Royal,Studio,915.0,0.037
2020-10-19,2020,Plateau-Mont-Royal,Studio,1163.0,0.0148
2020-02-04,2020,Plateau-Mont-Royal,Studio,1108.0,0.0396
2020-05-10,2020,Plateau-Mont-Royal,Studio,954.0,0.0252
2020-09-11,2020,Plateau-Mont-Royal,Studio,1070.0,0.0414
2020-06-27,2020,Plateau-Mont-Royal,Studio,989.0,0.0293
2020-02-21,2020,Plateau-Mont-Royal,Studio,1048.0,0.023
2020-08-18,2020,Plateau-Mont-Royal,Studio,1190.0,0.0318
2020-02-05,2020,Plateau-Mont-Royal,Studio,1163.0,0.0208
2020-08-30,2020,Plateau-Mont-Royal,Studio,1052.0,0.0321
2020-05-13,2020,Plateau-Mont-Royal,Studio,1082.0,0.0376
2020-12-05,2020,Plateau-Mont-Royal,Studio,917.0,0.0237
2020-12-13,2020,Plateau-Mont-Royal,Studio,1048.0,0.0357
2020-10-09,2020,Plateau-Mont-Royal,Studio,1101.0,0.0234
2020-08-20,2020,Plateau-Mont-Royal,Studio,1146.0,0.0231
2020-05-16,2020,Plateau-Mont-Royal,Studio,968.0,0.0209
2020-08-21,2020,Plateau-Mont-Royal,Studio,1202.0,0.0245
2020-06-08,2020,Plateau-Mont-Royal,Studio,1078.0,0.0243
2020-04-22,2020,Plateau-Mont-Royal,1BR,1620.0,0.0277
2020-09-24,2020,Plateau-Mont-Royal,1BR,1406.0,0.0257
2020-04-22,2020,Plateau-Mont-Royal,1BR,1406.0,0.01
2020-08-11,2020,Plateau-Mont-Royal,1BR,1358.0,0.0252
2020-05-09,2020,Plateau-Mont-Royal,1BR,1386.0,0.029
2020-07-16,2020,Plateau-Mont-Royal,1BR,1126.0,0.0408
2020-07-21,2020,Plateau-Mont-Royal,1BR,1494.0,0.0145
2020-10-20,2020,Plateau-Mont-Royal,1BR,1259.0,0.0193
2020-07-16,2020,Plateau-Mont-Royal,1BR,1566.0,0.012
2020-05-23,2020,Plateau-Mont-Royal,1BR,1545.0,0.0221
2020-11-21,2020,Plateau-Mont-Royal,1BR,1352.0,0.0352
2020-09-08,2020,Plateau-Mont-Royal,1BR,1497.0,0.0303
2020-12-17,2020,Plateau-Mont-Royal,1BR,1233.0,0.0267
2020-12-25,2020,Plateau-Mont-Royal,1BR,1456.0,0.01
2020-05-30,2020,Plateau-Mont-Royal,1BR,1364.0,0.0171
2020-09-19,2020,Plateau-Mont-Royal,1BR,1618.0,0.03
2020-02-29,2020,Plateau-Mont-Royal,1BR,1525.0,0.0313
2020-06-08,2020,Plateau-Mont-Royal,1BR,1415.0,0.031
2020-04-08,2020,Plateau-Mont-Royal,1BR,1245.0,0.0379
2020-05-31,2020,Plateau-Mont-Royal,1BR,1500.0,0.0307
2020-04-25,2020,Plateau-Mont-Royal,1BR,1511.0,0.0237
2020-08-14,2020,Plateau-Mont-Royal,1BR,1433.0,0.0345
2020-06-01,2020,Plateau-Mont-Royal,1BR,1471.0,0.0244
2020-07-26,2020,Plateau-Mont-Royal,1BR,1618.0,0.0307
2020-10-30,2020,Plateau-Mont-Royal,1BR,1407.0,0.0222
2020-05-14,2020,Plateau-Mont-Royal,1BR,1494.0,0.0387
2020-06-24,2020,Plateau-Mont-Royal,1BR,1300.0,0.037
2020-01-22,2020,Plateau-Mont-Royal,1BR,1380.0,0.0185
2020-10-09,2020,Plateau-Mont-Royal,1BR,1507.0,0.0236
2020-04-06,2020,Plateau-Mont-Royal,1BR,1190.0,0.0175
2020-11-12,2020,Plateau-Mont-Royal,1BR,1378.0,0.0532
2020-07-10,2020,Plateau-Mont-Royal,1BR,1721.0,0.0257
2020-08-07,2020,Plateau-Mont-Royal,1BR,1287.0,0.0308
2020-01-06,2020,Plateau-Mont-Royal,1BR,1207.0,0.0236
2020-06-29,2020,Plateau-Mont-Royal,1BR,1394.0,0.0334
2020-04-25,2020,Plateau-Mont-Royal,1BR,1445.0,0.0265
2020-06-09,2020,Plateau-Mont-Royal,1BR,1312.0,0.0109
2020-10-07,2020,Plateau-Mont-Royal,1BR,1303.0,0.0209
2020-11-18,2020,Plateau-Mont-Royal,1BR,1531.0,0.0226
2020-10-14,2020,Plateau-Mont-Royal,1BR,1308.0,0.0275
2020-05-06,2020,Plateau-Mont-Royal,2BR,1612.0,0.0399
2020-09-29,2020,Plateau-Mont-Royal,2BR,1925.0,0.0265
2020-06-18,2020,Plateau-Mont-Royal,2BR,1839.0,0.0438
2020-01-13,2020,Plateau-Mont-Royal,2BR,1848.0,0.0311
2020-09-20,2020,Plateau-Mont-Royal,2BR,1607.0,0.0309
2020-05-22,2020,Plateau-Mont-Royal,2BR,1910.0,0.0325
2020-08-02,2020,Plateau-Mont-Royal,2BR,1665.0,0.0236
2020-07-04,2020,Plateau-Mont-Royal,2BR,1604.0,0.038
2020-11-09,2020,Plateau-Mont-Royal,2BR,1521.0,0.0296
2020-06-18,2020,Plateau-Mont-Royal,2BR,1716.0,0.032
2020-04-10,2020,Plateau-Mont-Royal,2BR,1708.0,0.0369
2020-04-17,2020,Plateau-Mont-Royal,2BR,1996.0,0.0273
2020-12-30,2020,Plateau-Mont-Royal,2BR,1671.0,0.0282
2020-12-20,2020,Plateau-Mont-Royal,2BR,1722.0,0.0131
2020-09-25,2020,Plateau-Mont-Royal,2BR,1968.0,0.0343
2020-10-01,2020,Plateau-Mont-Royal,2BR,1760.0,0.0211
2020-08-16,2020,Plateau-Mont-Royal,2BR,1662.0,0.0249
2020-05-08,2020,Plateau-Mont-Royal,2BR,2028.0,0.0192
2020-10-16,2020,Plateau-Mont-Royal,2BR,1727.0,0.0228
2020-03-29,2020,Plateau-Mont-Royal,2BR,1729.0,0.024
2020-09-28,2020,Plateau-Mont-Royal,2BR,1596.0,0.0352
2020-03-09,2020,Plateau-Mont-Royal,2BR,2078.0,0.0283
2020-03-16,2020,Plateau-Mont-Royal,2BR,1586.0,0.0444
2020-03-26,2020,Plateau-Mont-Royal,2BR,1607.0,0.0283
2020-07-22,2020,Plateau-Mont-Royal,2BR,1838.0,0.0337
2020-09-10,2020,Plateau-Mont-Royal,2BR,1697.0,0.037
2020-01-10,2020,Plateau-Mont-Royal,2BR,1492.0,0.013
2020-11-20,2020,Plateau-Mont-Royal,2BR,1775.0,0.0336
2020-12-01,2020,Plateau-Mont-Royal,2BR,1913.0,0.0414
2020-06-08,2020,Plateau-Mont-Royal,2BR,1746.0,0.0266
2020-06-26,2020,Plateau-Mont-Royal,2BR,1791.0,0.0326
2020-06-27,2020,Plateau-Mont-Royal,2BR,1628.0,0.028
2020-03-05,2020,Plateau-Mont-Royal,2BR,1838.0,0.0374
2020-12-02,2020,Plateau-Mont-Royal,2BR,1815.0,0.0198
2020-03-30,2020,Plateau-Mont-Royal,2BR,1611.0,0.0417
2020-07-14,2020,Plateau-Mont-Royal,2BR,1599.0,0.0178
2020-03-15,2020,Plateau-Mont-Royal,2BR,1627.0,0.0393
2020-10-03,2020,Plateau-Mont-Royal,2BR,1826.0,0.0318
2020-12-22,2020,Plateau-Mont-Royal,2BR,1782.0,0.0309
2020-06-25,2020,Plateau-Mont-Royal,2BR,1881.0,0.0321
2020-04-05,2020,Plateau-Mont-Royal,3BR,2095.0,0.0298
2020-02-06,2020,Plateau-Mont-Royal,3BR,2300.0,0.024
2020-10-05,2020,Plateau-Mont-Royal,3BR,2338.0,0.0149
2020-09-29,2020,Plateau-Mont-Royal,3BR,2131.0,0.0286
2020-08-04,2020,Plateau-Mont-Royal,3BR,2146.0,0.0585
2020-06-25,2020,Plateau-Mont-Royal,3BR,2323.0,0.0229
2020-10-10,2020,Plateau-Mont-Royal,3BR,2131.0,0.0358
2020-03-09,2020,Plateau-Mont-Royal,3BR,2540.0,0.0367
2020-02-22,2020,Plateau-Mont-Royal,3BR,2026.0,0.0139
2020-04-18,2020,Plateau-Mont-Royal,3BR,2313.0,0.0323
2020-11-26,2020,Plateau-Mont-Royal,3BR,2260.0,0.0428
2020-09-09,2020,Plateau-Mont-Royal,3BR,2311.0,0.0396
2020-06-16,2020,Plateau-Mont-Royal,3BR,2158.0,0.0378
2020-06-13,2020,Plateau-Mont-Royal,3BR,2120.0,0.0283
2020-12-30,2020,Plateau-Mont-Royal,3BR,2282.0,0.0114
2020-11-22,2020,Plateau-Mont-Royal,3BR,2407.0,0.0212
2020-12-29,2020,Plateau-Mont-Royal,3BR,2077.0,0.0239
2020-12-11,2020,Plateau-Mont-Royal,3BR,1844.0,0.0417
2020-06-21,2020,Plateau-Mont-Royal,3BR,2076.0,0.01
2020-02-27,2020,Plateau-Mont-Royal,3BR,2200.0,0.0231
2020-12-26,2020,Plateau-Mont-Royal,3BR,2353.0,0.0337
2020-12-13,2020,Plateau-Mont-Royal,3BR,2351.0,0.0373
2020-11-07,2020,Plateau-Mont-Royal,3BR,2184.0,0.03
2020-02-27,2020,Plateau-Mont-Royal,3BR,1751.0,0.0374
