date,year,borough,property_type,sale_price,days_on_market
2020-06-23,2020,Plateau-Mont-Royal,Condo,508000.0,35
2020-11-18,2020,Plateau-Mont-Royal,Condo,380000.0,14
2020-06-16,2020,Plateau-Mont-Royal,Condo,417000.0,35
2020-05-16,2020,Plateau-Mont-Royal,Condo,498000.0,26
2020-07-08,2020,Plateau-Mont-Royal,Condo,460000.0,37
2020-01-18,2020,Plateau-Mont-Royal,Condo,437000.0,21
2020-10-21,2020,Plateau-Mont-Royal,Condo,472000.0,38
2020-03-21,2020,Plateau-Mont-Royal,Condo,380000.0,13
2020-01-22,2020,Plateau-Mont-Royal,Condo,431000.0,30
2020-12-17,2020,Plateau-Mont-Royal,Condo,375000.0,36
2020-10-12,2020,Plateau-Mont-Royal,Condo,494000.0,46
2020-05-03,2020,Plateau-Mont-Royal,Condo,495000.0,34
2020-05-07,2020,Plateau-Mont-Royal,Condo,384000.0,38
2020-10-18,2020,Plateau-Mont-Royal,Condo,506000.0,19
2020-10-09,2020,Plateau-Mont-Royal,Condo,488000.0,37
2020-11-25,2020,Plateau-Mont-Royal,Condo,416000.0,39
2020-11-16,2020,Plateau-Mont-Royal,Condo,418000.0,23
2020-05-06,2020,Plateau-Mont-Royal,Condo,455000.0,35
2020-09-05,2020,Plateau-Mont-Royal,Condo,501000.0,29
2020-08-09,2020,Plateau-Mont-Royal,Condo,401000.0,51
2020-07-31,2020,Plateau-Mont-Royal,Duplex,825000.0,34
2020-10-24,2020,Plateau-Mont-Royal,Duplex,741000.0,26
2020-09-16,2020,Plateau-Mont-Royal,Duplex,664000.0,42
2020-11-25,2020,Plateau-Mont-Royal,Duplex,575000.0,49
2020-01-01,2020,Plateau-Mont-Royal,Duplex,596000.0,42
2020-03-12,2020,Plateau-Mont-Royal,Duplex,597000.0,23
2020-11-10,2020,Plateau-Mont-Royal,Duplex,730000.0,24
2020-11-28,2020,Plateau-Mont-Royal,Duplex,750000.0,36
2020-06-16,2020,Plateau-Mont-Royal,Duplex,734000.0,38
2020-11-27,2020,Plateau-Mont-Royal,Duplex,765000.0,30
2020-05-24,2020,Plateau-Mont-Royal,Duplex,602000.0,36
